timestamp,global_SRPT6_credit_sent_ratio
10.000000100000,1.00
10.000001120000,1.00
10.000002140000,1.00
10.000003160000,0.00
10.000004180000,0.00
10.000005200000,0.00
10.000006220000,0.00
10.000007240000,0.00
10.000008260000,0.00
10.000009280000,0.00
10.000010300000,0.00
10.000011320000,0.00
10.000012340000,0.00
10.000013360000,0.00
10.000014380000,0.00
10.000015400000,0.00
10.000016420000,0.00
10.000017440000,0.00
10.000018460000,0.00
10.000019480000,0.00
10.000020500000,0.00
10.000021520000,0.00
10.000022540000,0.00
10.000023560000,0.00
10.000024580000,0.00
10.000025600000,0.00
10.000026620000,0.00
10.000027640000,0.00
10.000028660000,0.00
10.000029680000,0.00
10.000030700000,0.00
10.000031720000,0.00
10.000032740000,0.00
10.000033760000,0.00
10.000034780000,0.00
10.000035800000,0.00
10.000036820000,0.00
10.000037840000,0.00
10.000038860000,0.00
10.000039880000,0.00
10.000040900000,0.00
10.000041920000,0.00
10.000042940000,0.00
10.000043960000,0.00
10.000044980000,0.00
10.000046000000,0.00
10.000047020000,0.00
10.000048040000,0.00
10.000049060000,0.00
10.000050080000,0.00
10.000051100000,0.00
10.000052120000,0.00
10.000053140000,0.00
10.000054160000,0.00
10.000055180000,0.00
10.000056200000,0.00
10.000057220000,0.00
10.000058240000,0.00
10.000059260000,0.00
10.000060280000,0.00
10.000061300000,0.00
10.000062320000,0.00
10.000063340000,0.00
10.000064360000,0.00
10.000065380000,0.00
10.000066400000,0.00
10.000067420000,0.00
10.000068440000,0.00
10.000069460000,0.00
10.000070480000,0.00
10.000071500000,0.00
10.000072520000,0.00
10.000073540000,0.00
10.000074560000,0.00
10.000075580000,0.00
10.000076600000,0.00
10.000077620000,0.00
10.000078640000,0.00
10.000079660000,0.00
10.000080680000,0.00
10.000081700000,0.00
10.000082720000,0.00
10.000083740000,0.00
10.000084760000,0.00
10.000085780000,0.00
10.000086800000,0.00
10.000087820000,0.00
10.000088840000,0.00
10.000089860000,0.00
10.000090880000,0.00
10.000091900000,0.00
10.000092920000,0.00
10.000093940000,0.00
10.000094960000,0.00
10.000095980000,0.00
10.000097000000,0.00
10.000098020000,0.00
10.000099040000,0.00
10.000100060000,0.00
10.000101080000,0.00
10.000102100000,0.00
10.000103120000,0.00
10.000104140000,0.00
10.000105160000,0.00
10.000106180000,0.00
10.000107200000,0.00
10.000108220000,0.00
10.000109240000,0.00
10.000110260000,0.00
10.000111280000,0.00
10.000112300000,0.00
10.000113320000,0.00
10.000114340000,0.00
10.000115360000,0.00
10.000116380000,0.00
10.000117400000,0.00
10.000118420000,0.00
10.000119440000,0.00
10.000120460000,0.00
10.000121480000,0.00
10.000122500000,0.00
10.000123520000,0.00
10.000124540000,0.00
10.000125560000,0.00
10.000126580000,0.00
10.000127600000,0.00
10.000128620000,0.00
10.000129640000,0.00
10.000130660000,0.00
10.000131680000,0.00
10.000132700000,0.00
10.000133720000,0.00
10.000134740000,0.00
10.000135760000,0.00
10.000136780000,0.00
10.000137800000,0.00
10.000138820000,0.00
10.000139840000,0.00
10.000140860000,0.00
10.000141880000,0.00
10.000142900000,0.00
10.000143920000,0.00
10.000144940000,0.00
