timestamp,pacer_backlog_data
10.000000100000,0.00
10.000001120000,84.00
10.000002140000,0.00
10.000003160000,0.00
10.000004180000,0.00
10.000005200000,1538.00
10.000006220000,1092.00
10.000007240000,646.00
10.000008260000,1738.00
10.000009280000,1292.00
10.000010300000,846.00
10.000011320000,1938.00
10.000012340000,1492.00
10.000013360000,1046.00
10.000014380000,600.00
10.000015400000,1692.00
10.000016420000,1246.00
10.000017440000,800.00
10.000018460000,1892.00
10.000019480000,1446.00
10.000020500000,1000.00
10.000021520000,2092.00
10.000022540000,1646.00
10.000023560000,1200.00
10.000024580000,754.00
10.000025600000,1846.00
10.000026620000,1400.00
10.000027640000,954.00
10.000028660000,2046.00
10.000029680000,1600.00
10.000030700000,1154.00
10.000031720000,708.00
10.000032740000,1800.00
10.000033760000,1354.00
10.000034780000,908.00
10.000035800000,2000.00
10.000036820000,1554.00
10.000037840000,1108.00
10.000038860000,662.00
10.000039880000,1754.00
10.000040900000,1308.00
10.000041920000,862.00
10.000042940000,1954.00
10.000043960000,1508.00
10.000044980000,1062.00
10.000046000000,616.00
10.000047020000,1708.00
10.000048040000,1262.00
10.000049060000,816.00
10.000050080000,1908.00
10.000051100000,1462.00
10.000052120000,1016.00
10.000053140000,570.00
10.000054160000,1662.00
10.000055180000,1216.00
10.000056200000,770.00
10.000057220000,1862.00
10.000058240000,1416.00
10.000059260000,970.00
10.000060280000,2062.00
10.000061300000,1616.00
10.000062320000,1170.00
10.000063340000,724.00
10.000064360000,1816.00
10.000065380000,1370.00
10.000066400000,924.00
10.000067420000,2016.00
10.000068440000,1570.00
10.000069460000,1124.00
10.000070480000,678.00
10.000071500000,1770.00
10.000072520000,1324.00
10.000073540000,878.00
10.000074560000,1970.00
10.000075580000,1524.00
10.000076600000,1078.00
10.000077620000,632.00
10.000078640000,1724.00
10.000079660000,1278.00
10.000080680000,832.00
10.000081700000,1924.00
10.000082720000,1478.00
10.000083740000,1032.00
10.000084760000,586.00
10.000085780000,1678.00
10.000086800000,1232.00
10.000087820000,786.00
10.000088840000,1878.00
10.000089860000,1432.00
10.000090880000,986.00
10.000091900000,2078.00
10.000092920000,1632.00
10.000093940000,1186.00
10.000094960000,740.00
10.000095980000,1832.00
10.000097000000,1386.00
10.000098020000,940.00
10.000099040000,2032.00
10.000100060000,1586.00
10.000101080000,1140.00
10.000102100000,694.00
10.000103120000,1786.00
10.000104140000,1340.00
10.000105160000,894.00
10.000106180000,1986.00
10.000107200000,1540.00
10.000108220000,1094.00
10.000109240000,648.00
10.000110260000,1740.00
10.000111280000,1294.00
10.000112300000,848.00
10.000113320000,1940.00
10.000114340000,1494.00
10.000115360000,1048.00
10.000116380000,602.00
10.000117400000,1694.00
